index,ticker,name,in_date,in_source,out_date,out_source
코스닥 150,038290,마크로젠,2014-12-12,log,2019-12-13,log
코스닥 150,041830,인바디,2014-12-12,log,2020-12-11,log
코스닥 150,043610,KT뮤직,2014-12-12,log,2015-12-11,log
코스닥 150,049960,쎌바이오텍,2014-12-12,log,2018-12-14,log
코스닥 150,067160,SOOP,2014-12-12,log,2017-12-15,log
코스닥 150,069110,코스온,2014-12-12,log,2017-12-15,log
코스닥 150,083790,크리스탈지노믹스,2014-12-12,log,2021-12-10,log
코스닥 150,092070,디엔에프,2014-12-12,log,2016-06-10,log
코스닥 150,095700,제넥신,2014-12-12,log,2024-06-14,log
코스닥 150,100700,세운메디칼,2014-12-12,log,2016-12-09,log
코스닥 150,108790,인터파크,2014-12-12,log,2019-06-14,log
코스닥 150,154040,솔루에타,2014-12-12,log,2015-06-12,log
코스닥 150,171120,라이온켐텍,2014-12-12,log,2017-12-15,log
코스닥 150,027050,코리아나,2015-06-12,log,2018-12-14,log
코스닥 150,028300,HLB,2015-06-12,log,,
코스닥 150,032190,다우데이타,2015-06-12,log,2016-12-09,log
코스닥 150,035890,서희건설,2015-06-12,log,2020-03-26,log
코스닥 150,036800,나이스정보통신,2015-06-12,log,2016-12-09,log
코스닥 150,038500,삼표시멘트,2015-06-12,log,2016-12-09,log
코스닥 150,048530,인트론바이오,2015-06-12,log,2022-12-09,log
코스닥 150,051360,토비스,2015-06-12,log,2015-12-11,log
코스닥 150,053030,바이넥스,2015-06-12,log,2019-12-13,log
코스닥 150,054670,대한뉴팜,2015-06-12,log,2017-12-15,log
코스닥 150,054780,키이스트,2015-06-12,log,2017-06-09,log
코스닥 150,060250,NHN KCP,2015-06-12,log,2018-06-15,log
코스닥 150,068240,다원시스,2015-06-12,log,2025-06-13,log
코스닥 150,085370,루트로닉,2015-06-12,log,2018-06-15,log
코스닥 150,095340,ISC,2015-06-12,log,2017-06-09,log
코스닥 150,140410,메지온,2015-06-12,log,2017-06-09,log
코스닥 150,194480,데브시스터즈,2015-06-12,log,2016-06-10,log
코스닥 150,200130,콜마비앤에이치,2015-06-12,log,,
코스닥 150,213420,덕산네오룩스,2015-06-12,log,,
코스닥 150,215000,골프존,2015-06-12,log,2016-06-10,log
코스닥 150,013990,아가방컴퍼니,2015-12-11,log,2017-12-15,log
코스닥 150,025980,아난티,2015-12-11,log,,
코스닥 150,067080,대화제약,2015-12-11,log,2019-12-13,log
코스닥 150,067390,아스트,2015-12-11,log,2020-06-12,log
코스닥 150,089600,나스미디어,2015-12-11,log,2020-12-11,log
코스닥 150,102710,이엔에프테크놀로지,2015-12-11,log,2018-12-14,log
코스닥 150,114570,지스마트글로벌,2015-12-11,log,2018-06-15,log
코스닥 150,119610,인터로조,2015-12-11,log,2019-06-14,log
코스닥 150,143240,사람인에이치알,2015-12-11,log,2016-12-09,log
코스닥 150,168330,내츄럴엔도텍,2015-12-11,log,2019-03-22,log
코스닥 150,178920,PI첨단소재,2015-12-11,log,2021-08-31,synthetic
코스닥 150,192080,더블유게임즈,2015-12-11,log,2019-03-29,synthetic
코스닥 150,192440,슈피겐코리아,2015-12-11,log,2018-06-15,log
코스닥 150,200670,휴메딕스,2015-12-11,log,2018-12-14,log
코스닥 150,206640,바디텍메드,2015-12-11,log,2019-06-14,log
코스닥 150,214450,파마리서치,2015-12-11,log,,
코스닥 150,160550,NEW,2016-03-16,log,2017-12-15,log
코스닥 150,063170,서울옥션,2016-04-08,log,2017-06-09,log
코스닥 150,036930,주성엔지니어링,2016-06-10,log,,
코스닥 150,039840,디오,2016-06-10,log,2020-12-11,log
코스닥 150,054620,APS홀딩스,2016-06-10,log,2017-12-15,log
코스닥 150,065160,에프티이앤이,2016-06-10,log,2018-04-16,log
코스닥 150,068760,셀트리온제약,2016-06-10,log,,
코스닥 150,115450,HLB테라퓨틱스,2016-06-10,log,2021-12-10,log
코스닥 150,145020,휴젤,2016-06-10,log,,
코스닥 150,182400,엔케이맥스,2016-06-10,log,2021-12-10,log
코스닥 150,214370,케어젠,2016-06-10,log,2019-04-10,log
코스닥 150,222040,코스맥스엔비티,2016-06-10,log,2020-06-12,log
코스닥 150,036630,세종텔레콤,2016-07-15,log,2020-06-12,log
코스닥 150,006910,보성파워텍,2016-12-09,log,2017-06-09,log
코스닥 150,014200,광림,2016-12-09,log,2018-06-15,log
코스닥 150,049180,셀루메드,2016-12-09,log,2017-06-09,log
코스닥 150,058820,CMG제약,2016-12-09,log,2022-12-09,log
코스닥 150,064240,홈캐스트,2016-12-09,log,2018-12-14,log
코스닥 150,064760,티씨케이,2016-12-09,log,,
코스닥 150,109610,에스와이패널,2016-12-09,log,2018-06-15,log
코스닥 150,115960,연우,2016-12-09,log,2020-12-11,log
코스닥 150,141080,리가켐바이오,2016-12-09,log,,
코스닥 150,215360,우리산업,2016-12-09,log,2020-06-12,log
코스닥 150,237690,에스티팜,2016-12-09,log,,
코스닥 150,240810,원익IPS,2016-12-09,log,,
코스닥 150,036540,SFA반도체,2017-06-09,log,2018-06-15,log
코스닥 150,038540,상상인,2017-06-09,log,2019-06-14,log
코스닥 150,051370,인터플렉스,2017-06-09,log,2019-06-14,log
코스닥 150,065060,지엔코,2017-06-09,log,2017-12-15,log
코스닥 150,066970,엘앤에프,2017-06-09,log,2024-01-29,log
코스닥 150,078150,HB테크놀러지,2017-06-09,log,2018-06-15,log
코스닥 150,089140,넥스턴,2017-06-09,log,2017-12-15,log
코스닥 150,095610,테스,2017-06-09,log,,
코스닥 150,215600,신라젠,2017-06-09,log,2020-06-12,log
코스닥 150,237880,클리오,2017-06-09,log,2021-06-11,log
코스닥 150,241710,코스메카코리아,2017-06-09,log,2019-12-13,log
코스닥 150,243070,휴온스,2017-06-09,log,2023-06-09,log
코스닥 150,265520,AP시스템,2017-06-09,log,2018-12-14,log
코스닥 150,090470,제이스텍,2017-07-10,log,2018-06-15,log
코스닥 150,003380,하림지주,2017-12-15,log,,
코스닥 150,007390,네이처셀,2017-12-15,log,,
코스닥 150,007820,에스엠코어,2017-12-15,log,2020-06-12,log
코스닥 150,018000,유니슨,2017-12-15,log,2019-06-14,log
코스닥 150,031980,피에스케이홀딩스,2017-12-15,log,2019-06-14,log
코스닥 150,033290,코웰패션,2017-12-15,log,2024-06-14,log
코스닥 150,049950,미래컴퍼니,2017-12-15,log,2020-12-11,log
코스닥 150,080420,모다이노칩,2017-12-15,log,2019-12-13,log
코스닥 150,086520,에코프로,2017-12-15,log,,
코스닥 150,090460,비에이치,2017-12-15,log,2023-06-20,log
코스닥 150,091990,셀트리온헬스케어,2017-12-15,log,2023-12-15,log
코스닥 150,263750,펄어비스,2017-12-15,log,,
코스닥 150,272290,이녹스첨단소재,2017-12-15,log,,
코스닥 150,123100,원익테라세미콘,2018-02-09,log,2018-06-15,log
코스닥 150,200230,텔콘RF제약,2018-03-28,log,2021-12-10,log
코스닥 150,063570,한국전자금융,2018-04-16,log,2020-12-11,log
코스닥 150,000250,삼천당제약,2018-06-15,log,,
코스닥 150,013030,하이록코리아,2018-06-15,log,2020-06-12,log
코스닥 150,030190,NICE평가정보,2018-06-15,log,2023-08-08,log
코스닥 150,035900,JYP Ent.,2018-06-15,log,,
코스닥 150,039200,오스코텍,2018-06-15,log,,
코스닥 150,042000,카페24,2018-06-15,log,2022-12-09,log
코스닥 150,060570,드림어스컴퍼니,2018-06-15,log,2021-06-11,log
코스닥 150,065660,안트로젠,2018-06-15,log,2021-06-11,log
코스닥 150,073070,에스모,2018-06-15,log,2020-03-27,log
코스닥 150,087010,펩트론,2018-06-15,log,2019-12-13,log
코스닥 150,144510,지씨셀,2018-06-15,log,2025-06-13,log
코스닥 150,217480,에스디생명공학,2018-06-15,log,2019-12-13,log
코스닥 150,253450,스튜디오드래곤,2018-06-15,log,,
